-0.24826, 1.00026, 1.77701, 1.77701, -36.0737, -36.0737
-0.231748, 1.005, 1.67818, 1.67818, -36.1644, -36.1644
-0.21517, 1.00946, 1.5791, 1.5791, -36.2442, -36.2442
-0.198532, 1.01365, 1.4798, 1.4798, -36.3131, -36.3131
-0.181839, 1.01757, 1.38031, 1.38031, -36.3712, -36.3712
-0.165094, 1.02121, 1.28066, 1.28066, -36.4185, -36.4185
-0.148303, 1.02458, 1.18088, 1.18088, -36.4551, -36.4551
-0.13147, 1.02768, 1.08101, 1.08101, -36.4811, -36.4811
-0.1146, 1.03051, 0.98106, 0.98106, -36.4965, -36.4965
-0.0976966, 1.03306, 0.881069, 0.881069, -36.5015, -36.5015
-0.0807654, 1.03533, 0.781065, 0.781065, -36.4961, -36.4961
-0.0638105, 1.03734, 0.681076, 0.681076, -36.4804, -36.4804
-0.0468365, 1.03907, 0.581129, 0.581129, -36.4545, -36.4545
-0.0298479, 1.04052, 0.481254, 0.481254, -36.4185, -36.4185
-0.0128492, 1.0417, 0.381477, 0.381477, -36.3725, -36.3725
0.00415507, 1.04261, 0.281827, 0.281827, -36.3165, -36.3165
0.0211605, 1.04325, 0.182329, 0.182329, -36.2508, -36.2508
0.0381626, 1.04361, 0.083012, 0.083012, -36.1753, -36.1753
0.055157, 1.0437, -0.0160984, -0.0160984, -36.0902, -36.0902
0.0721393, 1.04352, -0.114976, -0.114976, -35.9956, -35.9956
0.089105, 1.04307, -0.213594, -0.213594, -35.8917, -35.8917
0.10605, 1.04235, -0.311927, -0.311927, -35.7785, -35.7785
0.12297, 1.04136, -0.40995, -0.40995, -35.6561, -35.6561
0.13986, 1.04011, -0.507638, -0.507638, -35.5247, -35.5247
0.156717, 1.03858, -0.604966, -0.604966, -35.3843, -35.3843
0.173535, 1.03679, -0.701909, -0.701909, -35.2352, -35.2352
0.190312, 1.03474, -0.798444, -0.798444, -35.0774, -35.0774
0.207042, 1.03242, -0.894547, -0.894547, -34.911, -34.911
0.223721, 1.02984, -0.990193, -0.990193, -34.7363, -34.7363
0.240346, 1.02699, -1.08536, -1.08536, -34.5532, -34.5532
0.256913, 1.02389, -1.18003, -1.18003, -34.362, -34.362
0.273416, 1.02053, -1.27417, -1.27417, -34.1627, -34.1627
0.289853, 1.01691, -1.36777, -1.36777, -33.9555, -33.9555
0.306219, 1.01303, -1.46079, -1.46079, -33.7405, -33.7405
0.322511, 1.00891, -1.55323, -1.55323, -33.5179, -33.5179
0.338724, 1.00452, -1.64506, -1.64506, -33.2878, -33.2878
0.354855, 0.999892, -1.73626, -1.73626, -33.0503, -33.0503
0.3709, 0.995011, -1.82681, -1.82681, -32.8055, -32.8055
0.386854, 0.989883, -1.91669, -1.91669, -32.5537, -32.5537
0.402715, 0.98451, -2.00588, -2.00588, -32.2948, -32.2948
0.418479, 0.978893, -2.09436, -2.09436, -32.0291, -32.0291
0.434142, 0.973035, -2.18211, -2.18211, -31.7567, -31.7567
0.4497, 0.966937, -2.26911, -2.26911, -31.4778, -31.4778
0.46515, 0.960602, -2.35535, -2.35535, -31.1924, -31.1924
0.480489, 0.954032, -2.44081, -2.44081, -30.9006, -30.9006
0.495712, 0.947229, -2.52547, -2.52547, -30.6027, -30.6027
0.510817, 0.940195, -2.60932, -2.60932, -30.2988, -30.2988
0.5258, 0.932933, -2.69233, -2.69233, -29.989, -29.989
0.540658, 0.925444, -2.77449, -2.77449, -29.6734, -29.6734
0.555387, 0.917731, -2.85578, -2.85578, -29.3522, -29.3522
0.569985, 0.909797, -2.9362, -2.9362, -29.0254, -29.0254
0.584447, 0.901644, -3.01572, -3.01572, -28.6933, -28.6933
0.598772, 0.893274, -3.09433, -3.09433, -28.356, -28.356
0.612955, 0.88469, -3.17202, -3.17202, -28.0136, -28.0136
0.626995, 0.875894, -3.24877, -3.24877, -27.6661, -27.6661
0.640887, 0.86689, -3.32457, -3.32457, -27.3139, -27.3139
0.654629, 0.857679, -3.3994, -3.3994, -26.9569, -26.9569
0.668218, 0.848264, -3.47326, -3.47326, -26.5953, -26.5953
0.681651, 0.838648, -3.54612, -3.54612, -26.2293, -26.2293
0.694925, 0.828835, -3.61798, -3.61798, -25.859, -25.859
0.708039, 0.818825, -3.68883, -3.68883, -25.4844, -25.4844
0.720988, 0.808623, -3.75865, -3.75865, -25.1058, -25.1058
0.73377, 0.798231, -3.82743, -3.82743, -24.7232, -24.7232
0.746383, 0.787652, -3.89517, -3.89517, -24.3367, -24.3367
0.758824, 0.776889, -3.96184, -3.96184, -23.9466, -23.9466
0.771091, 0.765945, -4.02745, -4.02745, -23.5528, -23.5528
0.783181, 0.754823, -4.09198, -4.09198, -23.1556, -23.1556
0.795092, 0.743525, -4.15542, -4.15542, -22.755, -22.755
0.806821, 0.732055, -4.21776, -4.21776, -22.3512, -22.3512
0.818367, 0.720415, -4.279, -4.279, -21.9443, -21.9443
0.829727, 0.70861, -4.33912, -4.33912, -21.5344, -21.5344
0.840898, 0.696641, -4.39812, -4.39812, -21.1216, -21.1216
0.851879, 0.684512, -4.45598, -4.45598, -20.706, -20.706
0.862668, 0.672226, -4.51271, -4.51271, -20.2877, -20.2877
0.873262, 0.659786, -4.56829, -4.56829, -19.8669, -19.8669
0.88366, 0.647196, -4.62272, -4.62272, -19.4436, -19.4436
